title,studio,domestic_gross,foreign_gross,year,matched_title,similarity
Toy Story 3 2010,BV,415000000.0,652000000,2010,Toy Story 3 2010,100
Alice in Wonderland (2010) 2010,BV,334200000.0,691300000,2010,Alice in Wonderland 2010,87
Harry Potter and the Deathly Hallows Part 1 2010,WB,296000000.0,664300000,2010,Harry Potter and the Deathly Hallows: Part 1 2010,99
Inception 2010,WB,292600000.0,535700000,2010,Inception 2010,100
Shrek Forever After 2010,P/DW,238700000.0,513900000,2010,Shrek Forever After 2010,100
The Twilight Saga: Eclipse 2010,Sum.,300500000.0,398000000,2010,The Twilight Saga: Eclipse 2010,100
Iron Man 2 2010,Par.,312400000.0,311500000,2010,Iron Man 2 2010,100
Tangled 2010,BV,200800000.0,391000000,2010,Tangled 2010,100
Despicable Me 2010,Uni.,251500000.0,291600000,2010,Despicable Me 2010,100
How to Train Your Dragon 2010,P/DW,217600000.0,277300000,2010,How to Train Your Dragon 2010,100
Clash of the Titans (2010) 2010,WB,163200000.0,330000000,2010,Clash of the Titans 2010,87
The Chronicles of Narnia: The Voyage of the Dawn Treader 2010,Fox,104400000.0,311300000,2010,The Chronicles of Narnia: The Voyage of the Dawn Treader 2010,100
The King's Speech 2010,Wein.,135500000.0,275400000,2010,The King's Speech 2010,100
Tron Legacy 2010,BV,172100000.0,228000000,2010,TRON: Legacy 2010,97
The Karate Kid 2010,Sony,176600000.0,182500000,2010,The Karate Kid 2010,100
Prince of Persia: The Sands of Time 2010,BV,90800000.0,245600000,2010,Prince of Persia: The Sands of Time 2010,100
Black Swan 2010,FoxS,107000000.0,222400000,2010,Black Swan 2010,100
Megamind 2010,P/DW,148400000.0,173500000,2010,Megamind 2010,100
Robin Hood 2010,Uni.,105300000.0,216400000,2010,Robin Hood 2010,100
The Last Airbender 2010,Par.,131800000.0,187900000,2010,The Last Airbender 2010,100
Little Fockers 2010,Uni.,148400000.0,162200000,2010,Little Fockers 2010,100
Resident Evil: Afterlife 2010,SGem,60100000.0,240100000,2010,Resident Evil: Afterlife 2010,100
Shutter Island 2010,Par.,128000000.0,166800000,2010,Shutter Island 2010,100
Salt 2010,Sony,118300000.0,175200000,2010,Salt 2010,100
Sex and the City 2 2010,WB (NL),95300000.0,193000000,2010,Sex and the City 2 2010,100
The Tourist 2010,Sony,67600000.0,210700000,2010,The Tourist 2010,100
The Expendables 2010,LGF,103100000.0,171400000,2010,The Expendables 2010,100
Grown Ups 2010,Sony,162000000.0,109400000,2010,Grown Ups 2010,100
Knight & Day 2010,Fox,76400000.0,185500000,2010,Knight and Day 2010,89
True Grit 2010,Par.,171200000.0,81000000,2010,True Grit 2010,100
Gulliver's Travels 2010,Fox,42800000.0,194600000,2010,Gulliver's Travels 2010,100
Percy Jackson & The Olympians: The Lightning Thief 2010,Fox,88800000.0,137700000,2010,Percy Jackson & the Olympians: The Lightning Thief 2010,100
The Social Network 2010,Sony,97000000.0,128000000,2010,The Social Network 2010,100
Valentine's Day 2010,WB (NL),110500000.0,106000000,2010,Valentine's Day 2010,100
The Sorcerer's Apprentice 2010,BV,63200000.0,152100000,2010,The Sorcerer's Apprentice 2010,100
Due Date 2010,WB,100500000.0,111200000,2010,Due Date 2010,100
Eat Pray Love 2010,Sony,80600000.0,124000000,2010,Eat Pray Love 2010,100
Yogi Bear 2010,WB,100200000.0,101300000,2010,Yogi Bear 2010,100
Red 2010,Sum.,90400000.0,108600000,2010,RED 2010,100
Paranormal Activity 2 2010,Par.,84800000.0,92800000,2010,Paranormal Activity 2 2010,100
The A-Team 2010,Fox,77200000.0,100000000,2010,The A-Team 2010,100
Jackass 3-D 2010,Par.,117200000.0,54500000,2010,Jackass 3D 2010,97
The Other Guys 2010,Sony,119200000.0,51200000,2010,The Other Guys 2010,100
Unstoppable 2010,Fox,81600000.0,86200000,2010,Unstoppable 2010,100
Step Up 3-D 2010,BV,42400000.0,116900000,2010,Step Up 3D 2010,97
The Book of Eli 2010,WB,94800000.0,62300000,2010,The Book of Eli 2010,100
The Town 2010,WB,92200000.0,61800000,2010,The Town 2010,100
Date Night 2010,Fox,98700000.0,53600000,2010,Date Night 2010,100
Legend of the Guardians: The Owls of Ga'Hoole 2010,WB,55700000.0,84400000,2010,Legend of the Guardians: The Owls of Ga'Hoole 2010,100
The Wolfman 2010,Uni.,62000000.0,77800000,2010,The Wolfman 2010,100
The Bounty Hunter 2010,Sony,67099999.0,69300000,2010,The Bounty Hunter 2010,100
Saw 3D 2010,LGF,45700000.0,90400000,2010,Sand 2010,80
Wall Street: Money Never Sleeps 2010,Fox,52500000.0,82300000,2010,Wall Street: Money Never Sleeps 2010,100
The Fighter 2010,Par.,93600000.0,35600000,2010,The Fighter 2010,100
Predators 2010,Fox,52000000.0,75200000,2010,Predators 2010,100
A Nightmare on Elm Street (2010) 2010,WB (NL),63100000.0,52600000,2010,A Nightmare on Elm Street 2010,90
Dear John 2010,SGem,80000000.0,35000000,2010,Dear John 2010,100
Cats & Dogs: The Revenge of Kitty Galore 2010,WB,43600000.0,68900000,2010,Cats & Dogs: The Revenge of Kitty Galore 2010,100
Tooth Fairy 2010,Fox,60000000.0,52400000,2010,Tooth Fairy 2010,100
Life as We Know It 2010,WB,53400000.0,52300000,2010,Life as We Know It 2010,100
Hereafter 2010,WB,32700000.0,72500000,2010,Hereafter 2010,100
The Girl with the Dragon Tattoo 2010,MBox,10100000.0,94300000,2010,The Girl with the Dragon Tattoo 2011,97
Love and Other Drugs 2010,Fox,32400000.0,70500000,2010,Love & Other Drugs 2010,92
Aftershock (Tangshan Dadizhen) 2010,CL,63000.0,100200000,2010,Aftershocks: Earthquake in Haiti 2011,64
Killers 2010,LGF,47100000.0,51100000,2010,Killers 2010,100
Kick-Ass 2010,LGF,48100000.0,48100000,2010,Kick-Ass 2010,100
Green Zone 2010,Uni.,35100000.0,59800000,2010,Green Zone 2010,100
Nanny McPhee Returns 2010,Uni.,29000000.0,64200000,2010,Nanny McPhee Returns 2010,100
Get Him to the Greek 2010,Uni.,61000000.0,30300000,2010,Get Him to the Greek 2010,100
Burlesque 2010,SGem,39400000.0,50100000,2010,Burlesque 2010,100
The Last Song 2010,BV,63000000.0,26100000,2010,The Last Song 2010,100
Dinner for Schmucks 2010,P/DW,73000000.0,13800000,2010,Dinner for Schmucks 2010,100
Marmaduke 2010,Fox,33600000.0,50100000,2010,Marmaduke 2010,100
Piranha 3D 2010,W/Dim.,25000000.0,58200000,2010,Piranha 3D 2010,100
Oceans 2010,BV,19400000.0,63200000,2010,Ocaso 2010,86
Edge of Darkness 2010,WB,43300000.0,37800000,2010,Edge of Darkness 2010,100
Vampires Suck 2010,Fox,36700000.0,43900000,2010,Vampires Suck 2010,100
Letters to Juliet 2010,Sum.,53000000.0,26100000,2010,Letters to Juliet 2010,100
The Back-Up Plan 2010,CBS,37500000.0,40000000,2010,The Back-up Plan 2010,100
If You Are the One 2 (Fei Cheng Wu Rao II) 2010,CL,427000.0,75600000,2010,If You Are the One 2 2010,69
Diary of a Wimpy Kid 2010,Fox,64000000.0,11700000,2010,Diary of a Wimpy Kid 2010,100
Easy A 2010,SGem,58400000.0,16600000,2010,Easy A 2010,100
Hubble 3D 2010,WB,52400000.0,21500000,2010,Hubble 2010,88
Takers 2010,SGem,57700000.0,11300000,2010,Takers 2010,100
Tales from Earthsea 2010,BV,48500.0,68600000,2010,Tales from Kars 2010,86
Legion (2010) 2010,SGem,40200000.0,27800000,2010,Legion 2010,76
The American 2010,Focus,35600000.0,32299999,2010,The American 2010,100
The Last Exorcism 2010,LGF,41000000.0,26700000,2010,The Last Exorcism 2010,100
